0	クリスマスソング
1	lemon
2	打上花火
3	シュガーソングとビターステップ
4	god knows...
5	コネクト
6	君の知らない物語
7	星間飛行
8	メルト
9	ロキ
10	ヒバナ
11	奏
12	脳漿炸裂ガール
13	happy halloween
14	アスノヨゾラ哨戒班
15	妄想感傷代償連盟
16	からくりピエロ
17	命に嫌われている。
18	crossing field
19	おねがいダーリン
20	secret base ~君がくれたもの~
21	ハロ/ハワユ
22	シャルル
23	砂の惑星
24	エイリアンエイリアン
25	ドラマツルギー
26	太陽系デスコ
27	千本桜
28	ゴーストルール
29	いーあるふぁんくらぶ
30	愛言葉iii
31	catch the moment
32	未練レコード
33	さよならメモリーズ
34	しんでしまうとはなさけない!
35	ピースサイン
36	platonic girl
37	私、アイドル宣言
38	flamingo
39	teenage riot
40	夢ファンファーレ
41	心做し
42	たばこ
43	変わらないもの
44	桜ノ雨
45	神のまにまに
46	好き!雪!本気マジック
47	劣等上等
48	雪の華
49	恋愛サーキュレーション
50	なんでもないや
51	メランコリック
52	adamas
53	少女レイ
